fecha,titulo,descripcion,color,mes,año
2025-08-18,Inicio de Semestre,Agosto 2025 - Enero 2026,#4287f5,8,2025
2025-08-18,Inscripciones y reinscripciones alumnos regulares,Inscripciones y reinscripciones alumnos regulares,#9c27b0,8,2025
2025-08-19,Inscripciones y reinscripciones alumnos regulares,Inscripciones y reinscripciones alumnos regulares,#9c27b0,8,2025
2025-08-20,Inscripciones y reinscripciones alumnos regulares,Inscripciones y reinscripciones alumnos regulares,#9c27b0,8,2025
2025-08-21,Inscripciones y reinscripciones alumnos regulares,Inscripciones y reinscripciones alumnos regulares,#9c27b0,8,2025
2025-08-22,Inscripciones y reinscripciones alumnos regulares,Inscripciones y reinscripciones alumnos regulares,#9c27b0,8,2025
2025-08-25,Inscripciones y reinscripciones de alumnos irregulares,Inscripciones y reinscripciones de alumnos irregulares,#9c27b0,8,2025
2025-08-26,Inscripciones y reinscripciones de alumnos irregulares,Inscripciones y reinscripciones de alumnos irregulares,#9c27b0,8,2025
2025-08-27,Inscripciones y reinscripciones de alumnos irregulares,Inscripciones y reinscripciones de alumnos irregulares,#9c27b0,8,2025
2025-08-28,Inscripciones y reinscripciones de alumnos irregulares,Inscripciones y reinscripciones de alumnos irregulares,#9c27b0,8,2025
2025-08-29,Inscripciones y reinscripciones de alumnos irregulares,Inscripciones y reinscripciones de alumnos irregulares,#9c27b0,8,2025
2025-09-01,Inicio de semestre,Inicio de semestre Ago'25 - Enero'26,#4287f5,9,2025
2025-09-16,Conmemoración Independencia,Conmemoración Independencia (Suspensión de labores),#ff6900,9,2025
2025-09-18,Entrega de información,"Actualización de los datos de  inscritos y reinscritos en la plataforma de SAEKO, solicitud de credenciales, actas de calificaciones finales e indicadores institucionales del semestre febrero-julio 2025, expedientes digitales de nuevo ingreso, bajas temporales y definitivas",#0ba14b,9,2025
